Best parameters set found on development set:
0.66550 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 40, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 48, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.024) for {'max_features': 4, 'min_samples_leaf': 56, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 59, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.022) for {'max_features': 4, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.023) for {'max_features': 4, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.028) for {'max_features': 5, 'min_samples_leaf': 17, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.017) for {'max_features': 5, 'min_samples_leaf': 29, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.020) for {'max_features': 5, 'min_samples_leaf': 38, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.022) for {'max_features': 5, 'min_samples_leaf': 46, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.022) for {'max_features': 5, 'min_samples_leaf': 52, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.023) for {'max_features': 5, 'min_samples_leaf': 55, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.020) for {'max_features': 5, 'min_samples_leaf': 62, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.022) for {'max_features': 5, 'min_samples_leaf': 66, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.021) for {'max_features': 5, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.024) for {'max_features': 5, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.020) for {'max_features': 6, 'min_samples_leaf': 25, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.018) for {'max_features': 7, 'min_samples_leaf': 41, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.018) for {'max_features': 7, 'min_samples_leaf': 43, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.019) for {'max_features': 7, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.021) for {'max_features': 7, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.018) for {'max_features': 7, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.018) for {'max_features': 7, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.017) for {'max_features': 8, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.017) for {'max_features': 8, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
0.66550 (+/-0.018) for {'max_features': 8, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
0.66550 (+/-0.018) for {'max_features': 8, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.017) for {'max_depth': 3, 'max_features': 11, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.023) for {'max_features': 3, 'min_samples_leaf': 10, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 38, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 13, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.024) for {'max_features': 4, 'min_samples_leaf': 15, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 33, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 43, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 46, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.013) for {'max_features': 4, 'min_samples_leaf': 54, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 55, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.018) for {'max_features': 4, 'min_samples_leaf': 56, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 58, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 61, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 61, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 63, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.023) for {'max_features': 4, 'min_samples_leaf': 64, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 65, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
