home_team,away_team,home_score,away_score,week,home_spread,home_pass_completions,home_pass_attempts,home_passing_touchdowns,home_interceptions_thrown,home_net_passing_yards,home_total_yards,home_elo,away_pass_completions,away_pass_attempts,away_passing_touchdowns,away_interceptions_thrown,away_net_passing_yards,away_total_yards,away_elo
Falcons,Seahawks,20,27,8,7.5,39,52,1,1,443,512,1389.464222085287,14,20,2,0,171,322,1576.997317881233
Titans,Buccaneers,27,23,8,-2,21,33,3,0,174,246,1467.352848471708,21,43,2,2,283,389,1452.4964722143607
Saints,Cardinals,31,9,8,-12.5,34,43,3,1,373,510,1661.9871853719976,19,34,0,0,197,237,1430.3582348523187
Rams,Bengals,24,10,8,-11.5,17,31,2,0,372,470,1562.3586958894864,32,51,1,0,297,401,1342.1410144312556
Jaguars,Jets,29,15,8,-7,22,34,3,0,278,389,1467.55774685866,21,30,2,3,167,213,1388.7025138818049
Bills,Eagles,13,31,8,-1,16,34,2,0,155,253,1532.1480782256458,17,24,1,0,153,317,1503.1694741606098
Bears,Chargers,16,17,8,-3.5,23,35,0,1,226,388,1539.6867080070886,19,29,1,1,195,231,1470.299713608185
Lions,Giants,31,26,8,-6,25,32,3,1,316,375,1462.2071542112658,28,41,4,0,290,370,1415.8426234689057
Colts,Broncos,15,13,8,-5.5,15,25,0,0,191,318,1529.7809531193134,20,32,0,0,167,280,1462.1378253342396
Texans,Raiders,27,24,8,-5.5,27,39,3,0,258,388,1542.5695352439614,18,30,3,0,285,378,1452.4875703809269
49ers,Panthers,51,13,8,-4,18,22,2,1,156,338,1582.8810051417731,19,37,0,3,100,230,1547.1076020374137
Patriots,Browns,27,13,8,-10,20,36,2,0,239,318,1667.5571608365228,20,31,1,1,151,310,1480.6602393873425
Chiefs,Packers,24,31,8,5.5,24,36,2,0,249,337,1597.1754053303691,23,33,3,0,256,374,1613.0272356774647
Steelers,Dolphins,27,14,8,-14,20,36,2,1,236,394,1504.408285323411,21,34,2,2,170,230,1309.5842389727404
Cardinals,49ers,25,28,9,10,17,24,2,0,204,357,1421.5968853283225,28,37,4,0,310,411,1601.726367228834
Jaguars,Texans,3,26,9,-1,27,47,0,2,282,357,1483.8716994832587,22,28,2,0,194,410,1558.2435380122372
Eagles,Bears,22,14,9,-5,26,39,1,0,227,373,1525.9169734048644,10,21,0,0,102,164,1514.547642559296
Steelers,Colts,26,24,9,-1,26,35,1,1,183,273,1514.729098366291,21,31,3,1,189,328,1546.7432967053537
Dolphins,Jets,26,18,9,3.5,24,36,3,0,266,316,1299.2634259298604,27,39,1,1,238,321,1372.3885612572062
Chiefs,Vikings,26,23,9,5,25,35,1,0,230,377,1577.1328709908905,19,38,3,0,212,308,1588.4017768985873
Panthers,Titans,30,20,9,-3.5,17,32,2,1,214,370,1528.2622399503528,27,39,1,2,310,431,1487.4554335062915
Bills,Redskins,24,9,9,-10.5,14,20,1,0,146,268,1509.4005789813912,15,22,0,0,116,243,1364.179961835713
Seahawks,Buccaneers,40,34,9,-4,29,43,5,0,347,492,1587.6483282728286,29,44,2,0,319,418,1432.3938871797773
Raiders,Lions,31,24,9,-2.5,20,31,2,0,279,450,1436.813567612651,26,41,3,1,383,473,1480.4212671610023
Chargers,Packers,26,11,9,4,21,28,0,0,283,442,1495.4387790559774,23,35,1,0,139,184,1633.0697700169433
Broncos,Browns,24,19,9,4,12,20,2,0,175,302,1445.1754817481992,27,42,1,0,261,351,1469.9800890661943
Ravens,Patriots,37,20,9,3,17,23,1,0,162,372,1572.8493918994247,30,46,1,1,268,342,1678.237311157671
Giants,Cowboys,18,37,9,6.5,26,41,1,1,171,271,1397.6285105191691,22,35,3,1,257,429,1522.4198089609847
Raiders,Chargers,26,24,10,1,21,31,1,0,200,278,1460.4355873879629,17,31,2,3,169,315,1524.3481365618463
Bengals,Ravens,13,49,10,10.5,16,30,1,1,150,307,1332.91548197307,18,22,3,1,243,379,1600.0309056613482
Browns,Bills,19,16,10,-3,26,38,2,0,221,368,1447.4833697622869,22,41,0,0,260,344,1522.1008310604964
Packers,Panthers,24,16,10,-5,17,29,0,0,225,388,1604.1604125110744,28,43,1,1,281,401,1546.8070392448517
Saints,Falcons,9,26,10,-13.5,33,46,0,0,258,310,1670.7485348959938,20,35,2,1,174,317,1378.8132116936913
Bears,Lions,20,13,10,-6.5,16,23,3,0,145,226,1494.2345922320185,27,46,1,1,259,357,1456.7992473856905
Jets,Giants,34,27,10,3,19,30,1,0,218,294,1347.0327971998615,26,40,4,0,258,281,1383.8628003291321
Titans,Chiefs,35,32,10,5.5,13,19,2,0,146,371,1468.9106342117925,36,51,3,0,433,530,1598.8137571313998
Buccaneers,Cardinals,30,27,10,-5.5,30,48,1,2,339,457,1420.1994606890541,28,45,3,1,342,417,1410.603515010252
Colts,Dolphins,12,16,10,-11,18,39,1,3,191,300,1523.813725002634,21,33,0,1,159,229,1324.6191899872051
Steelers,Rams,17,12,10,4.5,22,38,1,0,231,273,1537.6586700690107,22,42,0,3,225,313,1571.584228347672
Cowboys,Vikings,24,28,10,-3.5,28,46,3,1,393,443,1536.1855191510217,23,32,2,0,211,364,1566.720890758078
49ers,Seahawks,24,27,10,-6,24,46,1,1,215,302,1612.7197375469045,24,34,1,1,189,336,1599.8427547635517
Browns,Steelers,21,7,11,-3,17,32,2,0,189,293,1472.9253763033685,23,44,1,4,178,236,1560.7027354274007
Panthers,Falcons,3,29,11,-3.5,31,50,0,4,270,347,1529.2424920580502,22,32,1,0,295,349,1414.2180645975398
Lions,Cowboys,27,35,11,7,15,26,2,0,191,312,1438.053230816218,29,46,3,0,434,509,1517.0264268476944
Colts,Jaguars,33,13,11,-2.5,15,24,1,1,125,389,1491.9399427843778,33,47,2,1,279,308,1467.2995220161472
Dolphins,Bills,20,37,11,7,32,45,0,0,280,303,1356.4929722054615,21,33,3,0,256,424,1496.6588245194148
Ravens,Texans,41,7,11,-4,20,27,4,0,228,491,1607.4598074461203,18,30,0,1,110,232,1574.8157154793487
Vikings,Broncos,27,23,11,-10,29,35,3,0,284,321,1585.8799830614053,18,40,1,1,270,394,1467.6722010521066
Redskins,Jets,17,34,11,-1.5,19,35,2,1,171,225,1351.4797097566077,19,31,4,1,285,400,1370.2506068289274
