home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Bears,Steelers,23,17,9/24/2017,2017,3,7,2,18,38,222,2,15,22,101,1,1,2,17,84,306,5,1,2,10,73,4,12,0,0,2039,282,0,2,2,2,3,23,2,19,17,70,1,22,39,235,1,0,3,23,212,282,2,2,2,6,40,4,11,0,0,1654,306,1,5,1,2,2,17
Vikings,Buccaneers,34,17,9/24/2017,2017,3,1,2,25,37,125,1,25,33,369,3,0,0,0,369,494,0,0,0,5,53,7,13,0,0,2266,342,3,2,0,3,2,12,1,20,9,26,0,28,40,328,2,3,2,12,316,342,2,0,3,7,37,1,6,0,0,1334,494,0,0,0,0,0,0
Packers,Bengals,27,24,9/24/2017,2017,3,-7,2,22,17,64,0,28,42,313,3,1,6,33,280,344,0,0,1,4,33,7,15,0,0,1761,301,0,1,1,1,3,21,2,21,30,110,0,21,27,212,2,0,3,21,191,301,1,1,1,7,68,4,12,0,0,2057,344,1,0,0,1,6,33
Bills,Broncos,26,16,9/24/2017,2017,3,3.5,2,16,33,75,0,20,26,213,2,0,4,16,197,272,0,0,0,8,69,6,16,0,0,1826,366,2,1,0,2,3,4,2,21,23,111,1,24,40,259,0,2,3,4,255,366,1,0,2,10,79,6,14,0,2,1774,272,0,0,0,0,4,16
Eagles,Giants,27,24,9/24/2017,2017,3,-5,2,24,39,193,2,21,31,176,1,0,3,15,161,354,1,1,1,9,103,5,14,2,3,2252,415,2,0,0,2,0,0,2,21,17,49,0,35,47,366,3,2,0,0,366,415,0,0,2,10,137,3,10,0,2,1348,354,0,1,1,1,3,15
Panthers,Saints,13,34,9/24/2017,2017,3,-5,2,18,22,132,1,19,33,184,0,3,4,28,156,288,2,0,3,1,5,7,14,0,0,1731,362,0,0,0,0,1,7,2,21,27,149,1,22,29,220,3,0,1,7,213,362,0,0,0,1,10,6,12,0,0,1869,288,3,2,0,3,4,28
Patriots,Texans,36,33,9/24/2017,2017,3,-13.5,2,21,20,59,0,25,35,378,5,0,5,41,337,396,4,1,1,5,69,6,13,0,0,1582,417,2,2,0,2,2,9,2,23,32,125,0,22,33,301,2,2,2,9,292,417,2,0,2,10,60,6,14,0,0,2018,396,0,4,1,1,5,41
Titans,Seahawks,33,27,9/24/2017,2017,3,-2.5,2,21,35,195,1,20,32,225,2,0,0,0,225,420,0,0,0,5,45,4,14,0,0,1961,433,0,3,0,0,1,9,2,24,22,69,0,29,49,373,4,0,1,9,364,433,3,0,0,11,98,4,14,1,2,1639,420,0,0,0,0,0,0
Colts,Browns,31,28,9/24/2017,2017,3,1,2,16,36,92,3,17,24,259,1,0,3,16,243,335,1,1,1,11,99,8,17,0,0,2007,346,3,1,0,3,1,7,2,25,21,111,2,22,47,242,2,3,1,7,235,346,1,0,3,10,113,5,13,0,0,1593,335,0,1,1,1,3,16
Lions,Falcons,26,30,9/24/2017,2017,3,3,2,21,19,71,0,25,45,264,1,0,2,11,253,324,0,0,0,9,98,3,13,0,0,1645,428,3,0,0,3,2,17,2,26,28,151,1,24,35,294,2,3,2,17,277,428,0,0,3,8,68,4,9,0,0,1955,324,0,0,0,0,2,11
Cardinals,Cowboys,17,28,9/25/2017,2017,3,3,2,22,21,49,0,29,48,325,2,0,6,42,283,332,0,0,0,6,50,8,18,0,1,2175,273,0,0,0,0,1,9,2,15,26,99,2,13,18,183,2,0,1,9,174,273,0,0,0,9,76,2,9,0,0,1425,332,0,0,0,0,6,42
Packers,Bears,35,14,9/28/2017,2017,4,-7,3,17,24,91,1,19,27,179,4,0,2,10,169,260,0,0,0,7,55,7,14,1,1,1689,308,2,2,2,4,1,13,3,20,30,103,1,21,33,218,1,2,1,13,205,308,2,2,4,8,62,5,12,2,2,1911,260,0,0,0,0,2,10
Texans,Titans,57,14,10/1/2017,2017,4,2.5,3,33,42,173,2,25,34,283,4,1,2,11,272,445,0,0,1,3,20,6,12,1,1,2381,195,4,1,1,5,2,8,3,9,19,86,2,10,20,117,0,4,2,8,109,195,1,1,5,6,88,2,8,0,0,1219,445,1,0,0,1,2,11
Broncos,Raiders,16,10,10/1/2017,2017,4,-3.5,3,16,32,143,0,16,26,179,1,0,4,24,155,298,2,0,0,6,40,5,16,0,0,1977,254,1,0,0,1,3,19,3,11,15,24,0,21,35,249,1,1,3,19,230,254,0,0,1,7,75,2,12,0,3,1623,298,0,2,0,0,4,24
Falcons,Bills,17,23,10/1/2017,2017,4,-8,3,25,29,147,1,24,42,242,1,2,1,0,242,389,3,1,3,4,45,5,13,1,2,1875,281,0,1,0,0,3,18,3,15,36,117,0,12,20,182,1,0,3,18,164,281,1,0,0,9,55,6,13,0,0,1725,389,2,3,1,3,1,0
Seahawks,Colts,46,18,10/1/2017,2017,4,-12,3,22,33,194,2,21,26,295,2,2,3,12,283,477,0,0,2,6,45,10,15,1,1,1932,237,1,2,1,2,3,18,3,16,25,98,1,16,29,157,1,1,3,18,139,237,2,1,2,5,31,6,14,0,0,1668,477,2,0,0,2,3,12
Vikings,Lions,7,14,10/1/2017,2017,4,-2.5,3,15,22,87,1,16,30,219,0,0,2,22,197,284,3,3,3,2,10,3,10,0,1,1413,251,0,1,0,0,6,55,3,19,31,97,1,19,31,209,0,0,6,55,154,251,1,0,0,6,60,3,13,0,0,2187,284,0,3,3,3,2,22
