home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Chiefs,Lions,31,21,9/26/1999,1999,3,-3.5,2,21,35,155,2,20,29,235,2,0,1,7,228,383,0,0,0,6,70,7,15,0,0,1867,311,2,0,0,2,4,20,2,18,22,118,1,16,34,213,2,2,4,20,193,311,0,0,2,7,52,2,11,0,1,1733,383,0,0,0,0,1,7
Buccaneers,Broncos,13,10,9/26/1999,1999,3,-2.5,2,17,42,165,1,15,19,135,0,0,7,57,78,243,2,2,2,2,14,5,17,2,3,2219,173,1,2,0,1,2,12,2,8,20,53,0,14,29,132,1,1,2,12,120,173,2,0,1,8,62,1,12,0,2,1381,243,0,2,2,2,7,57
Panthers,Bengals,27,3,9/26/1999,1999,3,-7.0,2,13,18,146,2,17,23,204,1,0,1,7,197,343,3,2,2,3,20,4,8,0,0,1356,372,1,1,0,1,3,8,2,20,28,129,0,24,43,251,0,1,3,8,243,372,1,0,1,8,50,5,16,1,3,2244,343,0,3,2,2,1,7
Rams,Falcons,35,7,9/26/1999,1999,3,1.5,1,19,34,167,2,17,25,275,3,0,0,0,275,442,0,0,0,3,26,10,14,0,1,1947,233,1,1,0,1,2,15,2,12,22,68,0,19,31,180,1,1,2,15,165,233,1,0,1,3,25,6,13,0,3,1653,442,0,0,0,0,0,0
Packers,Vikings,23,20,9/26/1999,1999,3,0.0,2,20,22,71,0,24,39,304,1,0,2,15,289,360,0,0,0,5,47,5,13,1,1,1746,328,2,0,0,2,2,13,2,21,29,97,1,18,32,244,1,2,2,13,231,328,0,0,2,5,30,3,12,2,2,1854,360,0,0,0,0,2,15
Bills,Eagles,26,0,9/26/1999,1999,3,-11.5,2,25,40,191,1,20,29,195,1,1,1,9,186,377,2,0,1,4,20,3,11,0,0,2242,169,0,3,2,2,2,24,2,11,12,22,0,20,37,171,0,0,2,24,147,169,3,2,2,7,50,2,12,0,0,1358,377,1,2,0,1,1,9
Steelers,Seahawks,10,29,9/26/1999,1999,3,-4.0,2,15,19,65,0,21,41,220,1,5,2,13,207,272,1,0,5,5,43,3,12,0,2,1632,341,0,3,2,2,1,14,2,16,34,90,0,18,29,265,0,0,1,14,251,341,3,2,2,7,50,7,17,0,0,1968,272,5,1,0,5,2,13
Cardinals,49ers,10,24,9/27/1999,1999,3,2.5,2,20,29,101,1,16,31,176,0,2,5,27,149,250,4,2,4,3,25,4,13,1,1,1703,322,1,1,0,1,1,10,2,18,36,210,2,18,29,122,1,1,1,10,112,322,1,0,1,9,88,7,16,0,0,1897,250,2,4,2,4,5,27
Seahawks,Raiders,22,21,10/3/1999,1999,4,-3.5,3,15,26,75,0,15,30,213,2,1,2,12,201,276,2,0,1,5,40,8,15,0,0,1660,383,1,0,0,1,2,3,3,21,32,166,1,19,34,220,2,1,2,3,217,383,0,0,1,9,88,8,15,1,1,1940,276,1,2,0,1,2,12
Browns,Patriots,7,19,10/3/1999,1999,4,12.0,3,12,20,70,0,13,28,201,1,0,4,21,180,250,2,1,1,5,45,1,12,0,1,1389,451,0,4,2,2,4,32,3,23,35,90,1,29,43,393,1,0,4,32,361,451,4,2,2,7,59,9,19,1,1,2211,250,0,2,1,1,4,21
Redskins,Panthers,38,36,10/3/1999,1999,4,-8.5,3,22,31,110,1,20,33,337,4,0,3,29,308,418,1,1,1,8,60,5,13,1,2,1900,483,1,0,0,1,2,6,3,23,19,155,3,23,47,334,1,1,2,6,328,483,0,0,1,6,80,4,13,0,0,1700,418,0,1,1,1,3,29
Steelers,Jaguars,3,17,10/3/1999,1999,4,3.0,3,14,31,117,0,15,32,126,0,1,4,27,99,216,4,1,2,7,65,5,16,1,3,1873,204,1,0,0,1,1,5,3,13,35,124,0,10,25,85,1,1,1,5,80,204,0,0,1,5,32,3,15,1,1,1727,216,1,4,1,2,4,27
Vikings,Buccaneers,21,14,10/3/1999,1999,4,-7.0,3,20,23,68,0,26,35,296,3,1,0,0,296,364,0,0,1,5,50,7,14,0,0,1758,370,1,1,1,2,3,15,3,22,24,84,0,25,39,301,2,1,3,15,286,370,1,1,2,10,74,6,12,0,1,1842,364,1,0,0,1,0,0
Broncos,Jets,13,21,10/3/1999,1999,4,-5.5,3,17,29,108,1,18,36,234,0,5,1,16,218,326,2,1,6,7,82,7,14,0,1,1602,334,2,0,0,2,4,18,3,23,35,110,1,17,28,242,2,2,4,18,224,334,0,0,2,4,43,3,11,0,1,1998,326,5,2,1,6,1,16
Bengals,Rams,10,38,10/3/1999,1999,4,3.5,3,18,26,92,1,19,41,191,0,1,3,26,165,257,0,0,1,5,25,5,17,1,2,1853,399,0,3,2,2,2,11,2,18,28,73,1,18,22,337,3,0,2,11,326,399,3,2,2,4,34,5,10,0,0,1747,257,1,0,0,1,3,26
Chargers,Chiefs,21,14,10/3/1999,1999,4,-1.0,2,8,17,40,1,14,29,110,2,2,2,18,92,132,1,0,2,6,54,1,12,0,0,1381,314,4,2,0,4,1,7,3,19,38,121,0,19,40,200,2,4,1,7,193,314,2,0,4,13,113,6,18,2,4,2219,132,2,1,0,2,2,18
Cowboys,Cardinals,35,7,10/3/1999,1999,4,-7.0,2,17,39,114,1,15,21,192,2,0,0,0,192,306,2,1,1,10,87,5,13,0,0,2027,208,4,1,1,5,1,4,3,12,21,71,0,20,39,141,1,4,1,4,137,208,1,1,5,6,50,6,17,0,0,1573,306,0,2,1,1,0,0
Bears,Saints,14,10,10/3/1999,1999,4,1.0,3,20,28,112,0,25,43,224,2,2,3,12,212,324,4,3,5,5,35,8,19,3,3,1730,269,0,3,1,1,4,46,2,17,35,137,1,15,28,178,0,0,4,46,132,269,3,1,1,6,41,4,15,0,2,1870,324,2,4,3,5,3,12
