Best parameters set found on development set:
-0.21283 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
-0.21283 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
-0.21283 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
-0.21284 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42}
-0.21284 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21284 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42}
-0.21284 (+/-0.010) for {'max_depth': 6, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.21284 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42}
-0.21284 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
-0.21284 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
-0.21284 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 84, 'n_estimators': 1000, 'random_state': 42}
-0.21285 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
-0.21285 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42}
-0.21285 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
-0.21285 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42}
-0.21285 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
-0.21285 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
-0.21285 (+/-0.009) for {'max_depth': 6, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
-0.21285 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42}
-0.21285 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 56, 'n_estimators': 500, 'random_state': 42}
-0.21285 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
-0.21285 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42}
-0.21285 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 72, 'n_estimators': 500, 'random_state': 42}
-0.21285 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
-0.21285 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42}
-0.21286 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42}
-0.21286 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42}
-0.21286 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
-0.21286 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 84, 'n_estimators': 1000, 'random_state': 42}
-0.21286 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42}
-0.21286 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42}
-0.21286 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
-0.21286 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42}
-0.21286 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
-0.21286 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42}
-0.21286 (+/-0.010) for {'max_depth': 5, 'max_features': 8, 'n_estimators': 500, 'random_state': 42}
-0.21286 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42}
-0.21287 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 57, 'n_estimators': 500, 'random_state': 42}
-0.21287 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
-0.21287 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42}
-0.21287 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42}
-0.21287 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
-0.21287 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42}
-0.21287 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
-0.21287 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
-0.21287 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
-0.21287 (+/-0.009) for {'max_features': 6, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42}
-0.21287 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
-0.21287 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42}
-0.21287 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42}
-0.21287 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
-0.21287 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 84, 'n_estimators': 1000, 'random_state': 42}
-0.21287 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42}
-0.21287 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42}
-0.21288 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42}
-0.21288 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42}
-0.21288 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 79, 'n_estimators': 1000, 'random_state': 42}
-0.21288 (+/-0.011) for {'max_features': 8, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42}
-0.21288 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
-0.21288 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42}
-0.21288 (+/-0.010) for {'max_features': 8, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42}
-0.21288 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42}
-0.21288 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21288 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42}
-0.21288 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
