vote_probs,lr_probs,svc_probs,rf_probs,outcome
0.626882716,0.619253469,0.608106318,0.653377501,1
0.357319194,0.384714854,0.371614428,0.315474236,0
0.230161193,0.196982007,0.195637396,0.298104549,0
0.903342685,0.943033656,0.944831057,0.821875203,1
0.681908924,0.693983407,0.695477248,0.656175503,1
0.790358513,0.792684138,0.800545419,0.777804861,1
0.340697903,0.343091926,0.354301601,0.32464811,1
0.665832788,0.669258949,0.682785719,0.645387036,1
0.845966215,0.866635377,0.86643186,0.804684919,0
0.365912551,0.387507503,0.391157425,0.318907607,1
0.687855256,0.694460093,0.690774737,0.67829544,1
0.66703895,0.677161977,0.670844913,0.653057646,1
0.642410064,0.634080416,0.644308216,0.648868889,0
0.411347368,0.399423528,0.411409006,0.42325699,0
0.224151501,0.213706202,0.216787417,0.242025605,0
0.232096286,0.218867948,0.207705311,0.269844641,1
0.728317655,0.722634341,0.703279659,0.759139901,1
0.628979763,0.626953301,0.632227105,0.627756826,0
0.401380119,0.392287158,0.393061459,0.418854044,1
0.474622195,0.457330161,0.453963827,0.512706204,1
0.628943705,0.622348847,0.621935157,0.642595345,1
0.399724862,0.398675167,0.38311253,0.417442995,1
0.886900515,0.905713572,0.91092689,0.843910878,1
0.58984603,0.599209542,0.608580369,0.561652245,1
0.429001198,0.40889833,0.420000077,0.458213586,0
0.201505538,0.196726612,0.181634845,0.226236336,1
0.586457667,0.60009938,0.591631174,0.567571807,1
0.629337385,0.622557082,0.62092303,0.644585411,0
0.546301512,0.550128181,0.5564139,0.532315573,0
0.2768004,0.269207943,0.269048147,0.292199653,0
0.676423852,0.682335863,0.69222032,0.654642401,1
0.571988359,0.579232074,0.592712417,0.5439269,1
0.77882314,0.773058657,0.786695456,0.776713724,1
0.777502461,0.782545076,0.777290821,0.772652013,1
0.58868853,0.601254507,0.601428784,0.563292309,1
0.423771546,0.409164065,0.391048292,0.471262872,0
0.756034234,0.752212908,0.76118914,0.754699804,1
0.74323324,0.738088746,0.746532308,0.745088899,0
0.590397133,0.604382832,0.597825629,0.568903878,1
0.328740833,0.362577507,0.35616852,0.267255649,1
0.434470494,0.416123029,0.417565514,0.469849029,1
0.850619433,0.865261912,0.867123006,0.819363339,0
0.290718932,0.297993727,0.294562874,0.279559135,0
0.807836351,0.820081773,0.827465766,0.775851276,1
0.628704767,0.627985379,0.613828707,0.644349576,0
0.731191084,0.717980225,0.728242988,0.747412003,1
0.792846319,0.793515089,0.803692601,0.7812947,1
0.573520327,0.583920438,0.586926272,0.549630851,1
0.555201496,0.592668643,0.569170009,0.503572576,0
0.406349889,0.393379191,0.400155046,0.425586583,0
0.77699357,0.781963466,0.787019665,0.761946403,1
0.281702605,0.288272874,0.280522466,0.276289928,0
0.860740309,0.875739234,0.876387911,0.829984994,1
0.431293277,0.410641902,0.414154104,0.469219846,0
0.165762405,0.122090363,0.119912477,0.255602041,0
0.348959881,0.37725155,0.363853516,0.305615063,0
0.720918478,0.708532548,0.700325465,0.754011231,1
0.457030394,0.456772141,0.45861807,0.455697041,1
0.428718052,0.415883334,0.403091252,0.467310904,1
0.733848402,0.717160092,0.736974045,0.74746794,1
0.683258532,0.67814296,0.694760435,0.676856686,1
0.29925696,0.302307446,0.304849869,0.290583907,0
0.322906126,0.329178366,0.337700902,0.301767831,0
0.762953373,0.762390655,0.762742673,0.763729696,0
0.731991685,0.720170845,0.705136909,0.770798423,1
0.875633825,0.87609305,0.879513071,0.871281399,1
0.685204346,0.690833422,0.689693078,0.675050032,0
0.877677053,0.87562861,0.882302854,0.875093418,1
0.795603227,0.753654148,0.757494354,0.875947774,0
0.719843196,0.716873133,0.705059064,0.737655451,0
0.856894834,0.874610838,0.884818626,0.811097035,1
0.432949216,0.414228577,0.413265272,0.471490064,0
0.274485586,0.270658043,0.267194692,0.285642091,0
0.838264705,0.811955342,0.818697209,0.884307766,1
0.874702708,0.876236584,0.878230239,0.869624151,1
0.519246801,0.557123404,0.544169082,0.456218791,0
0.57726154,0.585450116,0.600023159,0.546207518,1
0.717770923,0.70791956,0.712735613,0.732712669,0
0.581486585,0.587589893,0.603916918,0.552858479,0
0.652971274,0.662156574,0.647446929,0.649290904,1
0.726656365,0.724651875,0.717405493,0.737948639,1
0.633385563,0.61743721,0.622220368,0.660597685,1
0.773288928,0.775521082,0.770130698,0.77421596,1
0.588176416,0.600597198,0.601866511,0.561973161,0
0.589004591,0.603532309,0.594502396,0.568903878,0
0.432498011,0.41572906,0.409844644,0.472058081,0
