Best parameters set found on development set:
-0.21769 (+/-0.008) for {'classification__max_features': 5, 'classification__min_samples_leaf': 85, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21769 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 98, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21769 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 96, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21769 (+/-0.008) for {'classification__max_depth': 5, 'classification__max_features': 3, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21769 (+/-0.008) for {'classification__max_features': 6, 'classification__min_samples_leaf': 100, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21769 (+/-0.009) for {'classification__max_features': 3, 'classification__min_samples_leaf': 82, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21770 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 44, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21770 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 92, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21770 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 52, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21770 (+/-0.009) for {'classification__max_features': 3, 'classification__min_samples_leaf': 80, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21770 (+/-0.008) for {'classification__max_depth': 4, 'classification__max_features': 4, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21771 (+/-0.009) for {'classification__max_features': 5, 'classification__min_samples_leaf': 83, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21771 (+/-0.009) for {'classification__max_features': 2, 'classification__min_samples_leaf': 50, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21771 (+/-0.007) for {'classification__max_features': 3, 'classification__min_samples_leaf': 70, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21771 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 56, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21771 (+/-0.008) for {'classification__max_features': 5, 'classification__min_samples_leaf': 94, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21771 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 91, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21772 (+/-0.008) for {'classification__max_depth': 4, 'classification__max_features': 7, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21772 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 81, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21772 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 100, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21772 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 100, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21772 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 91, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21772 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 81, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21773 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 73, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21773 (+/-0.007) for {'classification__max_features': 4, 'classification__min_samples_leaf': 91, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21773 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 90, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21773 (+/-0.009) for {'classification__max_features': 6, 'classification__min_samples_leaf': 95, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21773 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 64, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21774 (+/-0.009) for {'classification__max_features': 5, 'classification__min_samples_leaf': 99, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21774 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 67, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21774 (+/-0.009) for {'classification__max_depth': 4, 'classification__max_features': 6, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21774 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 40, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21775 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 97, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21775 (+/-0.009) for {'classification__max_features': 6, 'classification__min_samples_leaf': 89, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21775 (+/-0.007) for {'classification__max_depth': 3, 'classification__max_features': 4, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21775 (+/-0.009) for {'classification__max_features': 7, 'classification__min_samples_leaf': 97, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21775 (+/-0.009) for {'classification__max_features': 5, 'classification__min_samples_leaf': 92, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21775 (+/-0.008) for {'classification__max_depth': 5, 'classification__max_features': 4, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21775 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 58, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21776 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 99, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21776 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 98, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21776 (+/-0.008) for {'classification__max_depth': 6, 'classification__max_features': 3, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21777 (+/-0.008) for {'classification__max_depth': 4, 'classification__max_features': 7, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21777 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 47, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21777 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 75, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21777 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 71, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21777 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 68, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21777 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 51, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21777 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 93, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21778 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 70, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21778 (+/-0.009) for {'classification__max_features': 5, 'classification__min_samples_leaf': 95, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21778 (+/-0.007) for {'classification__max_features': 3, 'classification__min_samples_leaf': 78, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21779 (+/-0.007) for {'classification__max_features': 3, 'classification__min_samples_leaf': 77, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21779 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 62, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21779 (+/-0.008) for {'classification__max_features': 5, 'classification__min_samples_leaf': 93, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21779 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 76, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21779 (+/-0.007) for {'classification__max_features': 3, 'classification__min_samples_leaf': 98, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21780 (+/-0.008) for {'classification__max_depth': 6, 'classification__max_features': 4, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21780 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 86, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21780 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 72, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21780 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 55, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21780 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 51, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21781 (+/-0.008) for {'classification__max_depth': 4, 'classification__max_features': 5, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21781 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 68, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21781 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 69, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21782 (+/-0.008) for {'classification__max_features': 6, 'classification__min_samples_leaf': 93, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21782 (+/-0.007) for {'classification__max_features': 3, 'classification__min_samples_leaf': 60, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21782 (+/-0.007) for {'classification__max_features': 2, 'classification__min_samples_leaf': 82, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21782 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 74, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21782 (+/-0.009) for {'classification__max_features': 3, 'classification__min_samples_leaf': 84, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21782 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 62, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21783 (+/-0.009) for {'classification__max_features': 3, 'classification__min_samples_leaf': 79, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21783 (+/-0.009) for {'classification__max_features': 3, 'classification__min_samples_leaf': 42, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21783 (+/-0.007) for {'classification__max_features': 3, 'classification__min_samples_leaf': 90, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21783 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 50, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21784 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 52, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21784 (+/-0.008) for {'classification__max_features': 6, 'classification__min_samples_leaf': 100, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21784 (+/-0.010) for {'classification__max_depth': 5, 'classification__max_features': 7, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21785 (+/-0.007) for {'classification__max_features': 3, 'classification__min_samples_leaf': 62, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21785 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 73, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21785 (+/-0.009) for {'classification__max_features': 5, 'classification__min_samples_leaf': 74, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21785 (+/-0.009) for {'classification__max_features': 3, 'classification__min_samples_leaf': 48, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21785 (+/-0.007) for {'classification__max_features': 2, 'classification__min_samples_leaf': 56, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21785 (+/-0.009) for {'classification__max_features': 6, 'classification__min_samples_leaf': 97, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21786 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 82, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21786 (+/-0.007) for {'classification__max_features': 4, 'classification__min_samples_leaf': 100, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21786 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 49, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21786 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 66, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21786 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 71, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21786 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 59, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21786 (+/-0.008) for {'classification__max_features': 5, 'classification__min_samples_leaf': 91, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21786 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 55, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21786 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 59, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21787 (+/-0.009) for {'classification__max_depth': 5, 'classification__max_features': 5, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21787 (+/-0.008) for {'classification__max_depth': 4, 'classification__max_features': 3, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21787 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 45, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21787 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 97, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21787 (+/-0.008) for {'classification__max_features': 6, 'classification__min_samples_leaf': 99, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21787 (+/-0.009) for {'classification__max_features': 7, 'classification__min_samples_leaf': 99, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21787 (+/-0.008) for {'classification__max_features': 2, 'classification__min_samples_leaf': 76, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21788 (+/-0.008) for {'classification__max_features': 5, 'classification__min_samples_leaf': 81, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21788 (+/-0.007) for {'classification__max_features': 2, 'classification__min_samples_leaf': 66, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21788 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 61, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21788 (+/-0.009) for {'classification__max_depth': 5, 'classification__max_features': 6, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21788 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 84, 'classification__n_estimators': 1000, 'classification__random_state': 42}
