Best parameters set found on development set:
-0.22248 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 12, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22248 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22248 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 10, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22248 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 29, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22248 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 17, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22248 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 4, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22248 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 27, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22248 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 14, 'classification__n_neighbors': 61, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22248 (+/-0.009) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 19, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22249 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 1, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22249 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 23, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22249 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 22, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22249 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'uniform'}
