Best parameters set found on development set:
0.65024 (+/-0.028) for {'classification__max_features': 5, 'classification__min_samples_leaf': 97, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65024 (+/-0.025) for {'classification__max_features': 6, 'classification__min_samples_leaf': 70, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65002 (+/-0.016) for {'classification__max_features': 3, 'classification__min_samples_leaf': 15, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65002 (+/-0.018) for {'classification__max_features': 3, 'classification__min_samples_leaf': 30, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65002 (+/-0.018) for {'classification__max_features': 3, 'classification__min_samples_leaf': 66, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65002 (+/-0.022) for {'classification__max_features': 3, 'classification__min_samples_leaf': 80, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65002 (+/-0.018) for {'classification__max_features': 3, 'classification__min_samples_leaf': 98, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65002 (+/-0.024) for {'classification__max_features': 4, 'classification__min_samples_leaf': 42, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65002 (+/-0.020) for {'classification__max_features': 4, 'classification__min_samples_leaf': 80, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64980 (+/-0.022) for {'classification__max_depth': 4, 'classification__max_features': 4, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64980 (+/-0.011) for {'classification__max_features': 1, 'classification__min_samples_split': 100, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64980 (+/-0.012) for {'classification__max_features': 1, 'classification__min_samples_leaf': 30, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64980 (+/-0.015) for {'classification__max_features': 2, 'classification__min_samples_leaf': 16, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64980 (+/-0.017) for {'classification__max_features': 2, 'classification__min_samples_leaf': 23, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64980 (+/-0.019) for {'classification__max_features': 2, 'classification__min_samples_leaf': 30, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64980 (+/-0.011) for {'classification__max_features': 2, 'classification__min_samples_leaf': 40, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64980 (+/-0.026) for {'classification__max_features': 2, 'classification__min_samples_leaf': 46, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64980 (+/-0.019) for {'classification__max_features': 2, 'classification__min_samples_leaf': 47, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64980 (+/-0.029) for {'classification__max_features': 2, 'classification__min_samples_leaf': 53, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64980 (+/-0.021) for {'classification__max_features': 2, 'classification__min_samples_leaf': 85, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64980 (+/-0.020) for {'classification__max_features': 2, 'classification__min_samples_leaf': 87, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64980 (+/-0.019) for {'classification__max_features': 2, 'classification__min_samples_leaf': 88, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64980 (+/-0.022) for {'classification__max_features': 2, 'classification__min_samples_leaf': 97, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64980 (+/-0.020) for {'classification__max_features': 3, 'classification__min_samples_leaf': 78, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64980 (+/-0.019) for {'classification__max_features': 3, 'classification__min_samples_leaf': 100, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64980 (+/-0.022) for {'classification__max_features': 4, 'classification__min_samples_leaf': 78, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64980 (+/-0.022) for {'classification__max_features': 4, 'classification__min_samples_leaf': 86, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64980 (+/-0.024) for {'classification__max_features': 4, 'classification__min_samples_leaf': 95, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64980 (+/-0.021) for {'classification__max_features': 5, 'classification__min_samples_leaf': 62, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64958 (+/-0.027) for {'classification__max_depth': 4, 'classification__max_features': 7, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64958 (+/-0.018) for {'classification__max_depth': 7, 'classification__max_features': 6, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64958 (+/-0.017) for {'classification__max_features': 1, 'classification__min_samples_split': 67, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64958 (+/-0.020) for {'classification__max_features': 2, 'classification__min_samples_split': 92, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64958 (+/-0.020) for {'classification__max_features': 2, 'classification__min_samples_split': 100, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64958 (+/-0.023) for {'classification__max_features': 4, 'classification__min_samples_split': 86, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64958 (+/-0.020) for {'classification__max_features': 2, 'classification__min_samples_leaf': 32, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64958 (+/-0.012) for {'classification__max_features': 2, 'classification__min_samples_leaf': 41, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64958 (+/-0.024) for {'classification__max_features': 2, 'classification__min_samples_leaf': 50, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64958 (+/-0.017) for {'classification__max_features': 2, 'classification__min_samples_leaf': 52, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64958 (+/-0.027) for {'classification__max_features': 2, 'classification__min_samples_leaf': 54, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64958 (+/-0.020) for {'classification__max_features': 2, 'classification__min_samples_leaf': 56, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64958 (+/-0.015) for {'classification__max_features': 2, 'classification__min_samples_leaf': 75, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64958 (+/-0.021) for {'classification__max_features': 2, 'classification__min_samples_leaf': 80, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64958 (+/-0.017) for {'classification__max_features': 2, 'classification__min_samples_leaf': 95, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64958 (+/-0.027) for {'classification__max_features': 4, 'classification__min_samples_leaf': 92, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64958 (+/-0.027) for {'classification__max_features': 5, 'classification__min_samples_leaf': 69, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64958 (+/-0.031) for {'classification__max_features': 5, 'classification__min_samples_leaf': 80, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64936 (+/-0.020) for {'classification__max_features': 1, 'classification__min_samples_split': 48, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64936 (+/-0.022) for {'classification__max_features': 2, 'classification__min_samples_split': 76, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64936 (+/-0.012) for {'classification__max_features': 2, 'classification__min_samples_split': 93, 'classification__n_estimators': 500, 'classification__random_state': 42}
