Best parameters set found on development set:
-0.21394 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 69, 'n_estimators': 1000, 'random_state': 42}
-0.21394 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 74, 'n_estimators': 1000, 'random_state': 42}
-0.21395 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
-0.21395 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
-0.21395 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42}
-0.21395 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 69, 'n_estimators': 1000, 'random_state': 42}
-0.21395 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
-0.21395 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
-0.21395 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 75, 'n_estimators': 1000, 'random_state': 42}
-0.21395 (+/-0.008) for {'max_features': 5, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42}
-0.21395 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
-0.21396 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 66, 'n_estimators': 500, 'random_state': 42}
-0.21396 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
-0.21396 (+/-0.008) for {'max_features': 5, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42}
-0.21396 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 65, 'n_estimators': 1000, 'random_state': 42}
-0.21396 (+/-0.008) for {'max_features': 5, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42}
-0.21396 (+/-0.008) for {'max_features': 6, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42}
-0.21397 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 64, 'n_estimators': 1000, 'random_state': 42}
-0.21397 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42}
-0.21397 (+/-0.008) for {'max_features': 7, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21397 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 68, 'n_estimators': 500, 'random_state': 42}
-0.21397 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 63, 'n_estimators': 500, 'random_state': 42}
-0.21397 (+/-0.007) for {'max_features': 3, 'min_samples_leaf': 67, 'n_estimators': 500, 'random_state': 42}
-0.21397 (+/-0.008) for {'max_features': 4, 'min_samples_leaf': 67, 'n_estimators': 1000, 'random_state': 42}
