Best parameters set found on development set:
0.65965 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42}
0.65965 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.018) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.014) for {'max_features': 2, 'min_samples_split': 98, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.015) for {'max_features': 1, 'min_samples_leaf': 15, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.012) for {'max_features': 1, 'min_samples_leaf': 22, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.010) for {'max_features': 1, 'min_samples_leaf': 24, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.010) for {'max_features': 1, 'min_samples_leaf': 30, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.015) for {'max_features': 1, 'min_samples_leaf': 32, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.011) for {'max_features': 1, 'min_samples_leaf': 37, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.011) for {'max_features': 1, 'min_samples_leaf': 39, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.011) for {'max_features': 1, 'min_samples_leaf': 40, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.011) for {'max_features': 1, 'min_samples_leaf': 41, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.012) for {'max_features': 1, 'min_samples_leaf': 47, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 18, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 18, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 29, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 32, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 47, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 49, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 52, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 55, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 59, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 68, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 72, 'n_estimators': 500, 'random_state': 42}
