team,week,pass_yards,rush_yards,points_scored,location,boxscore_index
Eagles,14,184,253,48,Away,g202
Giants,14,181,123,22,Home,g202
Ravens,14,94,215,16,Away,g203
Steelers,14,264,65,14,Home,g203
Chiefs,14,342,89,34,Away,g204
Broncos,14,214,106,28,Home,g204
Buccaneers,14,253,69,7,Away,g205
49ers,14,195,209,35,Home,g205
Panthers,14,105,223,30,Away,g206
Seahawks,14,241,46,24,Home,g206
Dolphins,14,127,92,17,Away,g207
Chargers,14,350,82,23,Home,g207
Patriots,14,225,103,27,Away,g208
Cardinals,14,210,113,13,Home,g208
49ers,15,211,170,21,Away,g209
Seahawks,15,207,70,13,Home,g209
Colts,15,170,171,36,Away,g210
Vikings,15,426,92,39,Home,g210
Ravens,15,126,198,3,Away,g211
Browns,15,140,143,13,Home,g211
Dolphins,15,217,188,29,Away,g212
Bills,15,296,150,32,Home,g212
Eagles,15,309,112,25,Away,g213
Bears,15,91,157,20,Home,g213
Falcons,15,89,231,18,Away,g214
Saints,15,214,134,21,Home,g214
Lions,15,252,107,20,Away,g215
Jets,15,287,50,17,Home,g215
Steelers,15,169,156,24,Away,g216
Panthers,15,188,21,16,Home,g216
Cowboys,15,243,154,34,Away,g217
Jaguars,15,311,192,40,Home,g217
Chiefs,15,313,189,30,Away,g218
Texans,15,125,94,24,Home,g218
Cardinals,15,167,73,15,Away,g219
Broncos,15,156,168,24,Home,g219
Patriots,15,112,206,24,Away,g220
Raiders,15,211,97,30,Home,g220
Titans,15,157,127,14,Away,g221
Chargers,15,291,74,17,Home,g221
Bengals,15,184,53,34,Away,g222
Buccaneers,15,304,92,23,Home,g222
Giants,15,160,128,20,Away,g223
Commanders,15,228,159,12,Home,g223
Rams,15,84,72,12,Away,g224
Packers,15,207,138,24,Home,g224
Jaguars,16,218,147,19,Away,g225
Jets,16,161,66,3,Home,g225
Bengals,16,369,73,22,Away,g226
Patriots,16,224,61,18,Home,g226
Bills,16,172,254,35,Away,g227
Bears,16,129,80,13,Home,g227
Saints,16,92,152,17,Away,g228
Browns,16,125,124,10,Home,g228
Seahawks,16,200,133,10,Away,g229
Chiefs,16,220,77,24,Home,g229
Giants,16,319,126,24,Away,g230
Vikings,16,270,83,27,Home,g230
Lions,16,336,45,23,Away,g231
Panthers,16,250,320,37,Home,g231
Falcons,16,212,115,9,Away,g232
Ravens,16,115,184,17,Home,g232
Texans,16,215,70,19,Away,g233
Titans,16,88,184,14,Home,g233
Commanders,16,270,79,20,Away,g234
49ers,16,218,153,37,Home,g234
Eagles,16,355,87,34,Away,g235
Cowboys,16,304,115,40,Home,g235
Raiders,16,143,58,10,Away,g236
Steelers,16,244,106,13,Home,g236
Packers,16,222,79,26,Away,g237
Dolphins,16,294,82,20,Home,g237
Broncos,16,219,104,14,Away,g238
Rams,16,230,158,51,Home,g238
Buccaneers,16,281,115,19,Away,g239
Cardinals,16,204,121,16,Home,g239
Chargers,16,213,101,20,Away,g240
Colts,16,104,69,3,Home,g240
Cowboys,17,274,87,27,Away,g241
Titans,17,220,97,13,Home,g241
Broncos,17,190,117,24,Away,g242
Chiefs,17,328,46,27,Home,g242
Dolphins,17,247,86,21,Away,g243
Patriots,17,172,77,23,Home,g243
Cardinals,17,213,126,19,Away,g244
Falcons,17,166,132,20,Home,g244
Bears,17,30,200,10,Away,g245
Lions,17,239,265,41,Home,g245
Colts,17,124,128,10,Away,g246
Giants,17,177,217,38,Home,g246
Saints,17,183,130,20,Away,g247
Eagles,17,246,67,10,Home,g247
Browns,17,155,146,24,Away,g248
Commanders,17,124,136,10,Home,g248
Jaguars,17,168,169,31,Away,g249
Texans,17,193,84,3,Home,g249
Panthers,17,301,74,24,Away,g250
Buccaneers,17,411,67,30,Home,g250
49ers,17,284,170,37,Away,g251
Raiders,17,365,135,34,Home,g251
Jets,17,204,75,6,Away,g252
Seahawks,17,148,198,23,Home,g252
Vikings,17,244,102,17,Away,g253
Packers,17,152,163,41,Home,g253
Rams,17,111,166,10,Away,g254
Chargers,17,239,192,31,Home,g254
Steelers,17,153,198,16,Away,g255
Ravens,17,120,120,13,Home,g255
Titans,18,165,147,16,Away,g256
Jaguars,18,203,19,20,Home,g256
Chiefs,18,181,168,31,Away,g257
Raiders,18,180,99,13,Home,g257
Patriots,18,234,107,23,Away,g258
Bills,18,237,90,35,Home,g258
Texans,18,301,59,32,Away,g259
Colts,18,202,196,31,Home,g259
Jets,18,149,38,6,Away,g260
Dolphins,18,140,162,11,Home,g260
Browns,18,173,134,14,Away,g261
Steelers,18,189,148,28,Home,g261
Buccaneers,18,136,86,17,Away,g262
Falcons,18,208,174,30,Home,g262
Vikings,18,341,141,29,Away,g263
Bears,18,141,118,13,Home,g263
Panthers,18,32,171,10,Away,g264
Saints,18,161,143,7,Home,g264
Ravens,18,234,110,16,Away,g265
Bengals,18,202,54,27,Home,g265
Cowboys,18,118,64,6,Away,g266
Commanders,18,158,151,26,Home,g266
Cardinals,18,194,61,13,Away,g267
49ers,18,142,169,38,Home,g267
Giants,18,155,129,16,Away,g268
Eagles,18,207,135,22,Home,g268
Chargers,18,293,59,28,Away,g269
Broncos,18,266,205,31,Home,g269
Rams,18,123,146,16,Away,g270
Seahawks,18,205,197,19,Home,g270
Lions,18,219,104,20,Away,g271
Packers,18,188,103,16,Home,g271
Seahawks,19,228,104,23,Away,g272
49ers,19,324,181,41,Home,g272
Chargers,19,253,67,30,Away,g273
Jaguars,19,273,117,31,Home,g273
Dolphins,19,189,42,31,Away,g274
Bills,19,316,107,34,Home,g274
Giants,19,289,142,31,Away,g275
Vikings,19,271,61,24,Home,g275
Ravens,19,209,155,17,Away,g276
Bengals,19,183,51,27,Home,g276
Cowboys,19,297,128,31,Away,g277
Buccaneers,19,334,52,14,Home,g277
Jaguars,20,205,144,20,Away,g278
Chiefs,20,218,144,27,Home,g278
Giants,20,109,118,7,Away,g279
Eagles,20,148,268,38,Home,g279
Bengals,20,240,172,27,Away,g280
Bills,20,262,63,10,Home,g280
Cowboys,20,206,76,12,Away,g281
49ers,20,199,113,19,Home,g281
Bengals,21,238,71,20,Away,g282
Chiefs,21,315,42,23,Home,g282
49ers,21,83,81,7,Away,g283
Eagles,21,121,148,31,Home,g283
Chiefs,22,182,158,38,Away,g284
Eagles,22,302,115,35,Home,g284
