Best parameters set found on development set:
-0.21363 (+/-0.006) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.21417 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21418 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21418 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21418 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 74, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21418 (+/-0.006) for {'max_features': 5, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21418 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21418 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21418 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21418 (+/-0.006) for {'max_features': 5, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21418 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21419 (+/-0.007) for {'max_features': 7, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21419 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21419 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21419 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21419 (+/-0.007) for {'max_features': 7, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21419 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21419 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21419 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21419 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21419 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21420 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21420 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21420 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 86, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21420 (+/-0.006) for {'max_features': 5, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21420 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21420 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21420 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21420 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21421 (+/-0.006) for {'max_features': 5, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21421 (+/-0.007) for {'max_features': 7, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21421 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 75, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21421 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21421 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21421 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21421 (+/-0.006) for {'max_features': 3, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21422 (+/-0.007) for {'max_features': 7, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21422 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21422 (+/-0.006) for {'max_features': 5, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42} probability 0.000
