Best parameters set found on development set:
0.72955 (+/-0.018) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.72669 (+/-0.019) for {'max_features': 3, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72669 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 72, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72669 (+/-0.014) for {'max_depth': 4, 'max_features': 2, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72667 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42} probability 0.008
0.72665 (+/-0.021) for {'max_features': 3, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72661 (+/-0.019) for {'max_features': 3, 'min_samples_leaf': 69, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72660 (+/-0.013) for {'max_features': 4, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42} probability 0.001
0.72659 (+/-0.019) for {'max_features': 3, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72656 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 62, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72655 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 55, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72654 (+/-0.013) for {'max_features': 4, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42} probability 0.014
0.72653 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72651 (+/-0.014) for {'max_depth': 4, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72650 (+/-0.022) for {'max_features': 3, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72650 (+/-0.015) for {'max_features': 1, 'min_samples_split': 71, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72650 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 48, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72650 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42} probability 0.002
0.72649 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 53, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72649 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72648 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72647 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 49, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72646 (+/-0.021) for {'max_features': 3, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42} probability 0.006
0.72645 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72644 (+/-0.014) for {'max_depth': 4, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72642 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 38, 'n_estimators': 1000, 'random_state': 42} probability 0.000
