Best parameters set found on development set:
0.73182 (+/-0.014) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.72792 (+/-0.009) for {'max_features': 1, 'min_samples_leaf': 42, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72792 (+/-0.010) for {'max_features': 1, 'min_samples_leaf': 40, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72790 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42} probability 0.009
0.72789 (+/-0.012) for {'max_features': 1, 'min_samples_leaf': 28, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72789 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72788 (+/-0.015) for {'max_features': 1, 'min_samples_leaf': 27, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72786 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42} probability 0.008
0.72786 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42} probability 0.023
0.72786 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 60, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72784 (+/-0.011) for {'max_features': 1, 'min_samples_leaf': 37, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72784 (+/-0.009) for {'max_features': 1, 'min_samples_leaf': 57, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72784 (+/-0.019) for {'max_depth': 4, 'max_features': 4, 'n_estimators': 500, 'random_state': 42} probability 0.001
0.72783 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 63, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72782 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 64, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72782 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 71, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72781 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72781 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 72, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72781 (+/-0.008) for {'max_features': 1, 'min_samples_leaf': 58, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72780 (+/-0.011) for {'max_features': 3, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42} probability 0.009
0.72778 (+/-0.013) for {'max_depth': 1, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72778 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72778 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42} probability 0.002
0.72778 (+/-0.012) for {'max_features': 1, 'min_samples_leaf': 30, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72777 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 65, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72777 (+/-0.008) for {'max_features': 1, 'min_samples_leaf': 55, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72775 (+/-0.012) for {'max_depth': 5, 'max_features': 3, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72775 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72775 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 84, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72774 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 74, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72773 (+/-0.011) for {'max_features': 1, 'min_samples_leaf': 51, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72773 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 84, 'n_estimators': 500, 'random_state': 42} probability 0.001
0.72773 (+/-0.011) for {'max_features': 3, 'min_samples_leaf': 85, 'n_estimators': 1000, 'random_state': 42} probability 0.002
0.72772 (+/-0.010) for {'max_features': 3, 'min_samples_leaf': 70, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72772 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72771 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42} probability 0.002
0.72771 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42} probability 0.002
0.72770 (+/-0.009) for {'max_features': 3, 'min_samples_leaf': 61, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72770 (+/-0.011) for {'max_depth': 5, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72767 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 71, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72767 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 50, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72767 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72765 (+/-0.013) for {'max_features': 1, 'min_samples_leaf': 24, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72764 (+/-0.011) for {'max_features': 1, 'min_samples_leaf': 28, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72764 (+/-0.014) for {'max_features': 1, 'min_samples_leaf': 33, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72764 (+/-0.009) for {'max_features': 1, 'min_samples_leaf': 42, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72763 (+/-0.013) for {'max_features': 1, 'min_samples_leaf': 39, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72763 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42} probability 0.003
0.72762 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72762 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42} probability 0.003
0.72762 (+/-0.015) for {'max_features': 1, 'min_samples_leaf': 29, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72760 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 66, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72760 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 67, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72760 (+/-0.011) for {'max_depth': 5, 'max_features': 2, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72759 (+/-0.007) for {'max_features': 1, 'min_samples_leaf': 59, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72757 (+/-0.009) for {'max_features': 1, 'min_samples_leaf': 44, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72757 (+/-0.012) for {'max_features': 1, 'min_samples_leaf': 36, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72757 (+/-0.014) for {'max_features': 1, 'min_samples_leaf': 34, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72757 (+/-0.015) for {'max_features': 1, 'min_samples_leaf': 35, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72754 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 79, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72753 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 57, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72753 (+/-0.008) for {'max_features': 1, 'min_samples_leaf': 54, 'n_estimators': 1000, 'random_state': 42} probability 0.000
