Best parameters set found on development set:
-0.17465 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 59, 'p': 1, 'weights': 'distance'}
-0.17471 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 60, 'p': 1, 'weights': 'distance'}
-0.17471 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 60, 'p': 1, 'weights': 'distance'}
-0.17471 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 60, 'p': 1, 'weights': 'distance'}
-0.17472 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 58, 'p': 1, 'weights': 'distance'}
-0.17472 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 58, 'p': 1, 'weights': 'distance'}
-0.17472 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 58, 'p': 1, 'weights': 'distance'}
-0.17472 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 49, 'p': 2, 'weights': 'distance'}
-0.17473 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 49, 'p': 2, 'weights': 'distance'}
-0.17473 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 49, 'p': 2, 'weights': 'distance'}
-0.17477 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 57, 'p': 1, 'weights': 'distance'}
-0.17477 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 57, 'p': 1, 'weights': 'distance'}
-0.17477 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 57, 'p': 1, 'weights': 'distance'}
-0.17483 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 48, 'p': 2, 'weights': 'distance'}
-0.17483 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 48, 'p': 2, 'weights': 'distance'}
-0.17483 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 48, 'p': 2, 'weights': 'distance'}
-0.17486 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 56, 'p': 1, 'weights': 'distance'}
-0.17486 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 56, 'p': 1, 'weights': 'distance'}
-0.17487 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 56, 'p': 1, 'weights': 'distance'}
-0.17497 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 55, 'p': 1, 'weights': 'distance'}
-0.17497 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 45, 'p': 2, 'weights': 'distance'}
-0.17497 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 55, 'p': 1, 'weights': 'distance'}
-0.17497 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 55, 'p': 1, 'weights': 'distance'}
-0.17498 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 45, 'p': 2, 'weights': 'distance'}
-0.17498 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 45, 'p': 2, 'weights': 'distance'}
-0.17500 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 47, 'p': 2, 'weights': 'distance'}
-0.17501 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 47, 'p': 2, 'weights': 'distance'}
-0.17501 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 47, 'p': 2, 'weights': 'distance'}
-0.17503 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 46, 'p': 2, 'weights': 'distance'}
-0.17503 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 46, 'p': 2, 'weights': 'distance'}
-0.17503 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 46, 'p': 2, 'weights': 'distance'}
-0.17505 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 54, 'p': 1, 'weights': 'distance'}
-0.17505 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 54, 'p': 1, 'weights': 'distance'}
-0.17505 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 54, 'p': 1, 'weights': 'distance'}
-0.17518 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 53, 'p': 1, 'weights': 'distance'}
-0.17518 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 53, 'p': 1, 'weights': 'distance'}
-0.17518 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 53, 'p': 1, 'weights': 'distance'}
-0.17529 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 50, 'p': 1, 'weights': 'distance'}
-0.17529 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 50, 'p': 1, 'weights': 'distance'}
-0.17529 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 50, 'p': 1, 'weights': 'distance'}
-0.17531 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 51, 'p': 1, 'weights': 'distance'}
-0.17531 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 51, 'p': 1, 'weights': 'distance'}
-0.17531 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 51, 'p': 1, 'weights': 'distance'}
-0.17534 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 52, 'p': 1, 'weights': 'distance'}
-0.17534 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 52, 'p': 1, 'weights': 'distance'}
-0.17534 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 52, 'p': 1, 'weights': 'distance'}
-0.17543 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 49, 'p': 1, 'weights': 'distance'}
-0.17543 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 49, 'p': 1, 'weights': 'distance'}
-0.17543 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 49, 'p': 1, 'weights': 'distance'}
-0.17555 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 48, 'p': 1, 'weights': 'distance'}
-0.17555 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 48, 'p': 1, 'weights': 'distance'}
-0.17555 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 48, 'p': 1, 'weights': 'distance'}
-0.17564 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 47, 'p': 1, 'weights': 'distance'}
-0.17564 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 47, 'p': 1, 'weights': 'distance'}
-0.17564 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 47, 'p': 1, 'weights': 'distance'}
-0.17568 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 46, 'p': 1, 'weights': 'distance'}
-0.17568 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 46, 'p': 1, 'weights': 'distance'}
-0.17569 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 46, 'p': 1, 'weights': 'distance'}
-0.17573 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 45, 'p': 1, 'weights': 'distance'}
-0.17573 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 45, 'p': 1, 'weights': 'distance'}
-0.17573 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 45, 'p': 1, 'weights': 'distance'}
