Best parameters set found on development set:
0.64398 (+/-0.014) for {'max_depth': 5, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
0.64379 (+/-0.019) for {'max_depth': 2, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.64360 (+/-0.019) for {'max_depth': 2, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.64091 (+/-0.020) for {'max_depth': 1, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.64072 (+/-0.022) for {'max_depth': 1, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.63995 (+/-0.022) for {'max_depth': 4, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
0.63918 (+/-0.020) for {'max_depth': 4, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
0.63725 (+/-0.018) for {'max_depth': 3, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
0.63610 (+/-0.020) for {'max_depth': 3, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
0.63476 (+/-0.019) for {'max_depth': 2, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
0.63341 (+/-0.019) for {'max_depth': 2, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
0.63053 (+/-0.019) for {'max_depth': 1, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
0.62995 (+/-0.019) for {'max_depth': 1, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
