Best parameters set found on development set:
0.66116 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 37, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 48, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 63, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 70, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 74, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 65, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
0.66116 (+/-0.012) for {'max_features': 4, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
0.66116 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.013) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.012) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.017) for {'max_depth': 5, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.010) for {'max_features': 1, 'min_samples_leaf': 23, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 19, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.008) for {'max_features': 2, 'min_samples_leaf': 26, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 28, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 32, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 38, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 39, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 45, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 47, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 50, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 50, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 51, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.019) for {'max_features': 2, 'min_samples_leaf': 53, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 61, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 62, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 71, 'n_estimators': 1000, 'random_state': 42}
